Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 54 # 153-75,Sotavento,4.74000931891185,-74.0547701220141,No VIS,126,Suba,41116,Alejandría - Vintage
Cl. 159 # 54-69,Sotavento,4.74034225874492,-74.0562348760473,No VIS,21,Suba,41118,Alejandría - Portus
Cl. 159 # 54-36,Sotavento,4.74122548534095,-74.0549467885548,No VIS,57,Suba,41119,Alejandría - Mediterráneo
Cr. 52A # 175-66,Villa del Prado,4.75752965155045,-74.0504250477681,No VIS,68,Suba,41125,Parque Baviera
Cl. 137 # 55-42,Colina Campestre,4.72564621002701,-74.0611220832443,No VIS,2,Suba,41126,Arany
Av. Cr. 72 # 93-25,Lagartos,4.69730000011623,-74.0850999997929,No VIS,2,Suba,41127,Pontenovo
Cr. 7F # 145-88,Cedritos,4.72275712618421,-74.0303342841364,No VIS,1,Usaquén,41131,Imoval XIII
Cl. 147 # 12-80,Cedritos,4.72755047760106,-74.0360978200565,No VIS,7,Usaquén,41144,Gaia 147
Cl. 143 # 18-31,Cedritos,4.72449514047464,-74.0450231725109,No VIS,2,Usaquén,41153,ICR 143
Cr. 81 # 212-41,Guaymaral,4.79301243082579,-74.0617411926504,No VIS,1,Suba,41161,Reserva del Otoñal
Cl. 142 # 11-40,Cedritos,4.72171493846834,-74.0357278384592,No VIS,11,Usaquén,41167,Botanika Telus
Cl. 168 # 8D-25,Santa Teresa,4.74504773252332,-74.0272401201993,No VIS,21,Usaquén,41174,Terraverde
Cl. 152C # 72-65,Gratamira,4.74281712415106,-74.0672017485057,No VIS,4,Suba,41187,Veramonte - Macana
Cl. 147 # 11-10,Cedritos,4.72622218852074,-74.0332001119932,No VIS,38,Usaquén,41211,Cedritos 147
Cr. 55A # 167A-19,Britalia Norte,4.75035114153703,-74.0567389139003,No VIS,2,Suba,41221,Park 170
Cl. 145 # 15-75,Cedritos,4.72627812742272,-74.043028846451,No VIS,3,Usaquén,41222,Imoval XIV
Cr. 7 # 158-51,Barrancas,4.73416691503083,-74.0249328981142,No VIS,102,Usaquén,41226,Séptima Avenida
Cr. 57 # 160-15,Gilmar,4.74316676776373,-74.0602962187422,No VIS,1,Suba,41230,Terragrata
Cl. 170 # 56-45,Britalia Norte,4.7534287188781,-74.0577884048182,No VIS,9,Suba,41238,Belgrano
Cl. 152B # 56-62,Colina Campestre,4.73913636638701,-74.0608447052694,No VIS,6,Suba,41240,Klimt
Cr. 56 # 152B-71,Colina Campestre,4.73984836973589,-74.0603188492605,No VIS,67,Suba,41248,Picabia
Cl. 170 # 7A-17,Santa Teresa,4.7453058199654,-74.0246936709164,No VIS,35,Usaquén,41249,Miramont Park
Cr. 87 # 131C-11,Provenza,4.72897601422636,-74.0839680019048,No VIS,23,Suba,41251,Camino del Bosque Aptos
Cl. 147 # 72C-06,Colina Campestre,4.73793986806847,-74.0677295917917,No VIS,105,Suba,41272,Pratum
Cl. 187A # 8-46,Tibabita,4.76410000026226,-74.0295000001788,No VIS,3,Usaquén,41284,Terrazze 187
Cr. 8D # 192-40,Tibavita,4.76938462429137,-74.0300305757146,No VIS,5,Usaquén,41312,Ed. San Rafael
Cl. 170 # 69-45,Britalia Norte,4.75886771197204,-74.0652707714128,No VIS,135,Suba,41325,Baviera
Cl. 167D # 8-33,Santa Teresa,4.74469999969006,-74.0257000001147,No VIS,18,Usaquén,41326,Íkona 167
Cr. 73 # 152B-65,Gratamira,4.74174573797398,-74.0672183226903,No VIS,25,Suba,41330,Veramonte - Teca
Cl. 183 # 7A-41,San Antonio,4.76002129418789,-74.0278226380067,No VIS,6,Usaquén,41336,Ladera 183
Cr. 58BBis # 128B-14,Las Villas,4.71700000017881,-74.0706000002101,No VIS,1,Suba,41342,Axxes 128
Cl. 165B # 56B-20,Cantalejo,4.74853401651425,-74.058938037553,No VIS,3,Suba,41368,Itzatá Reservado
Cl. 152C # 73-75,Gratamira,4.74357524543188,-74.0701664855227,No VIS,80,Suba,41374,Veramonte - Ébano
Cr. 72BIS # 152B-25,Gratamira,4.742706795439,-74.0693011458645,No VIS,85,Suba,41375,Veramonte - Olmo
Cr. 63 # 103C-18,Andes,4.69145009989933,-74.0666092653702,No VIS,3,Suba,41377,Torre Andes +
"Vda. La Balsa, Guaymaral",Guaymaral,4.82015490959289,-74.0695118824687,No VIS,14,Suba,41389,Naples Cond.
Cr. 56 # 167A-03,Cantalejo,4.75035348876059,-74.0594000505338,No VIS,22,Suba,41392,Mawí
Cl. 128B # 58A-20,Las Villas,4.71670089631482,-74.0704506009296,No VIS,1,Suba,41396,Villa Mara
Cr. 58B # 129A-23,Ciudad Jardín Norte,4.71913269857967,-74.0696534376051,No VIS,9,Suba,41398,Osaka
Cr. 56 # 160-57,Cantalejo,4.74330294468184,-74.0591817007786,No VIS,13,Suba,41399,Torres de Cantalejo ..
Cl. 128C # 47-04,Prado Veraniego,4.71510528183257,-74.0555872041435,No VIS,3,Suba,41402,Prado 128
Cr. 80 # 146F-64,Casablanca,4.73727135390335,-74.0769823053846,No VIS,16,Suba,41404,Terra Vista 147
Cr. 58C # 147-36,Colina Campestre,4.7386000007391,-74.0604999996722,No VIS,25,Suba,41417,Carrá
Cr. 54A # 169-71,Britalia Norte,4.75255081564459,-74.0537396923445,No VIS,5,Suba,41418,Verona 170
Cl. 135 # 47-54,Spring,4.72169999964535,-74.0539999995381,No VIS,3,Suba,41429,La Esperanza
Cl. 135 # 45A-55,Spring,4.72124074202322,-74.0552025948469,No VIS,2,Suba,41431,Spring Art
Tv. 53D # 129-50,Prado Veraniego,4.71649999916554,-74.0636999998242,No VIS,29,Suba,41436,Nueva Colina - Amonte
Tv. 53D # 129-50,Prado Veraniego,4.71649999916554,-74.0636999998242,No VIS,19,Suba,41437,Nueva Colina - Turó
Cr. 9A # 63-18,Chapinero,4.64902942796979,-74.0613636201403,No VIS,3,Chapinero,41463,Lourdes 63
Av. Cr. 14 # 28A-89,Bello Horizonte,4.61770377813286,-74.0719825574166,No VIS,4,Teusaquillo,41464,Mitika
Cr. 14 # 33-50,Parque Bavaria,4.62182838001389,-74.0693662908847,No VIS,35,Santa Fe,41465,33 DC
Cr. 35 # 54-28,Nicolas de Federman,4.64503734891587,-74.0796314509907,No VIS,5,Teusaquillo,41466,Metropolitan Park
Dg. 60A # 22A-59,San Luis,4.6473999992013,-74.0713999997824,No VIS,3,Teusaquillo,41467,Varenna Aptos
Dg. 54 # 24-57,Galerias,4.644668339523,-74.0732858601252,No VIS,3,Teusaquillo,41468,CRZ-4
Tv. 24A # 60-23,San Luis,4.64680000022054,-74.0727000003681,No VIS,1,Teusaquillo,41469,Arabi Uno
Cr. 77BBis # 78-45,San Jose de la Granja,4.69793647245526,-74.0952978353928,No VIS,5,Engativá,41473,Marbore Reservado
Cl. 17 # 135-20,Florencia,4.69500000029802,-74.1688000001013,VIS,6,Fontibón,41475,Caminos de Fontibón
Cr. 14 # 33-50,Parque Bavaria,4.62182838001389,-74.0693662908847,No VIS,42,Santa Fe,41476,33 DC Res. Estudiantiles
Cl. 52 # 14-52,Quesada,4.6397745179605,-74.0670867202189,No VIS,14,Teusaquillo,41477,Gallery Loft 52
Cr. 14 # 32-20,Parque Bavaria,4.62040000036359,-74.070000000298,No VIS,136,Santa Fe,41478,Teik
Cl. 67 # 11-80,Quinta Camacho,4.65359805774005,-74.0624090182475,No VIS,85,Chapinero,41479,Garden Club
Cl. 12A # 27-14,Ricaurte,4.6111277269694,-74.0905259133674,No VIS,9,Los Mártires,41480,Torre Picasso
Cr. 27 # 50-11,Chapinero,4.63920000009239,-74.0765000004321,No VIS,1,Teusaquillo,41482,Edificio Hilares
Cr. 68D # 57H-65 Sur,La Española,4.70739431658606,-74.0953454316166,No VIS,18,Engativá,41488,Ed. Zafiro Paris
Cl. 17 # 22-50,Paloquemao,4.61280000023544,-74.085699999705,VIS,210,Los Mártires,41489,Centenari
Cl. 60 # 35A-51,Nicolas de Federman,4.65029261614336,-74.0804332413733,No VIS,5,Teusaquillo,41490,Edificio 8
Cl. 44 # 16-74,Palermo,4.6324552382758,-74.0707067859149,No VIS,4,Teusaquillo,41492,Alameda 44
Av. Cl. 26 # 37-19,El Recuerdo,4.63247280457088,-74.0855332600503,No VIS,11,Teusaquillo,41493,Urban 26
Cr. 87B # 8C-99,El Tintal,4.65056596613141,-74.1500821849249,VIS,1,Kennedy,41494,Vizcaya Castilla Reservado
Cl. 64D # 113B-49,Engativa,4.70897277854267,-74.1378657082422,VIS,12,Engativá,41495,Conj Res. Murano
Cr. 116 # 78B-35,Gran Granada,4.72291523745774,-74.1247888569431,No VIS,39,Engativá,41496,Senderos de Granada
Cr. 100 # 16C-80,El Carmen,4.67029570595697,-74.1487643871998,VIS,9,Fontibón,41497,Parque Central Fontibon 1
Cl. 63 # 1-05,Maria Cristina,4.64413957997535,-74.054195078961,No VIS,175,Chapinero,41498,View 63
Av. Cl. 24 # 47A-25,Quinta Paredes,4.63604066221171,-74.0966944954766,No VIS,12,Teusaquillo,41499,Central
Cl. 72A # 57-22,San Fernando,4.6717697735698,-74.0774615968847,No VIS,5,Barrios Unidos,41500,Ed. El Caballero
Cl. 22ABis # 44A-72,Quinta Paredes,4.63339010396268,-74.0962889201688,No VIS,5,Teusaquillo,41502,Kaitoke 22
Cl. 27 # 33-28,Quinta Paredes,4.63088964745456,-74.0825011008372,No VIS,2,Teusaquillo,41503,Ed. Abitti
Tv. 4 Este # 1-60,El Castillo,4.64197113441054,-74.0563844840065,No VIS,11,Chapinero,41507,Sierra 1.60
Cl. 70 Sur # 87-12,Independencia,4.61975557617659,-74.1949240175629,VIS,1,Bosa,41509,Huitaca Residencial
Cr. 72Bis # 74-66,Santa Maria del Lago,4.69027631024282,-74.0936046822949,No VIS,4,Engativá,41510,Santa María
Cl. 17 # 4-28,Centro,4.60211518396847,-74.0697707710285,No VIS,75,Santa Fe,41511,Pascal
Cl. 24 # 32-19,Gran América,4.62582123717743,-74.0855909905376,No VIS,195,Teusaquillo,41512,Eon
Cl. 60 # 9-57,Chapinero,4.6459914700983,-74.0629002013883,No VIS,1,Chapinero,41513,Microloft 60
Dg. 59 # 23-54,San Luis,4.64621128018513,-74.0723415666813,No VIS,4,Teusaquillo,41514,Maikai
Cr. 50 # 61-10,Nicolas de Federman,4.65219168588525,-74.0838241886163,No VIS,3,Teusaquillo,41515,Torre Verne
Cl. 51 # 3-66,Chapinero Alto,4.6356314970305,-74.0610119170555,No VIS,2,Chapinero,41516,Torres de Adar lll ..
Cl. 22 # 104-40,La Giralda,4.67937369899718,-74.1432950950681,No VIS,3,Fontibón,41520,Edificio Mandarino
Av. Cl. 22 # 97B-27,Villemar,4.67521574377729,-74.1403522096488,No VIS,11,Fontibón,41521,Esmeralda
Cr. 50 # 57B-42,Nicolas de Federman,4.64911017725973,-74.0850419269525,No VIS,11,Teusaquillo,41525,Eva 57 Nicolás
Cr. 82A # 69-05 Sur,Islandia,4.6152820929273,-74.1939926424913,VIS,127,Bosa,41527,Parque Primaveral
Cr. 81I Bis # 54-18 Sur,El Carmelo,4.62029943139763,-74.1773276357448,No VIS,1,Kennedy,41528,Arquilibrium 90
Cr. 5 # 16-58,Veracruz,4.60221464357678,-74.0709032906191,No VIS,6,Santa Fe,41529,Da Vinci Apartaestudios
Cr. 31 # 4-31,Veraguas,4.60494618566851,-74.1014043401417,No VIS,1,Puente Aranda,41531,Veraguas Reservado
Cl. 7 # 2-39,La Candelaria,4.59288477513904,-74.0731260623295,No VIS,24,La Candelaria,41532,Ed. Comuneros
Cr. 113 # 19A-11,Fontibon,4.68390939862584,-74.1508090558778,VIS,105,Fontibón,41533,Lares Fontibón II - Vis
Cl. 64D # 112B-84,Engativa,4.70609262051697,-74.1352183368534,No VIS,11,Engativá,41534,La Baita
Cr. 98A # 22A-13,La Giralda,4.67658034777817,-74.1399029993642,No VIS,4,Fontibón,41535,Hyntiba 98
Tv. 3A # 54A-24,Chapinero,4.64032863112349,-74.059999200144,No VIS,5,Chapinero,41537,Chapinero Hub
Cl. 60Bis # 1-64,Chapinero Alto,4.64292995222014,-74.056520773622,No VIS,3,Chapinero,41538,Origami 60
Cr. 47 # 22A-36,Quinta Paredes,4.63482936121817,-74.0969664645445,No VIS,5,Teusaquillo,41540,Espacio 47
Cl. 58Bis # 10-19,Chapinero,4.64459082513507,-74.0639840445764,VIS,3,Chapinero,41541,Living 58
Av. Cr. 6 # 68A-05,Marsella III,4.62781484290743,-74.1242400375168,No VIS,48,Kennedy,41542,Boreal
Cr. 7 # 61-24,Chapinero,4.64635959722672,-74.0603362240977,No VIS,27,Chapinero,41543,Torres de Adar IV ..
Cr. 123A # 77B-85,Gran Granada,4.72456482938072,-74.1343157686953,No VIS,72,Engativá,41544,Tinguazul
Cl. 78 # 76-40,La Granja,4.69700000062585,-74.0944999996573,No VIS,5,Engativá,41545,Jardines de La Granja
Cr. 68D # 57H-65 Sur,Villa del Rio,4.597353911666,-74.1603145739116,VIS,5,Bosa,41546,Senderos de Madelena ll
Cr. 78Bis # 76-75,La Granja,4.69692998275196,-74.0971272965452,No VIS,21,Engativá,41547,Cadiz
Cl. 22 # 44A-42,Quinta Paredes,4.63200241485802,-74.0970932901264,No VIS,9,Teusaquillo,41548,Pinesloft
Cl. 1 # 32B-80,Santa Matilde,4.60097448424537,-74.108682918412,No VIS,12,Puente Aranda,41549,Boreal Santa Matilde
Cl. 3 # 36-56,Veraguas,4.60880353307566,-74.1072830599758,VIS,1,Puente Aranda,41550,Oporto Club Res.
Cl. 82Bis # 27-34,Polo Club,4.67127631641557,-74.0644434548439,No VIS,21,Barrios Unidos,41552,Udara Polo
Cr. 67 # 67F-79,Jose Joaquin Vargas,4.67611665757776,-74.0861992793057,No VIS,14,Barrios Unidos,41553,Torres de las Lajas
Cl. 34 # 7-59,Centro,4.62155107762738,-74.0677278924645,No VIS,108,Santa Fe,41554,Citadinno
Cr. 24 # 61D-78,San Luis,4.64911570445433,-74.0726245195079,No VIS,4,Teusaquillo,41555,Armonía
Dg. 60A # 22A-70,San Luis,4.64756885239869,-74.072456871068,No VIS,4,Teusaquillo,41556,Camino de San Luis
Cr. 15 # 48-21,Palermo,4.63593108741192,-74.0683959759694,No VIS,162,Teusaquillo,41557,Urbano 48 - Vis
Cr. 116 # 19-45,San Pablo,4.68681749380945,-74.1536318873634,VIS,413,Fontibón,41558,Bonaire Club Residencial
Cl. 22B # 44-05,Quinta Paredes,4.63267888264069,-74.0949742949255,No VIS,19,Teusaquillo,41559,Ed. Avila
Cr. 45A # 94-26,La Castellana,4.682438146643,-74.058749401988,No VIS,82,Barrios Unidos,41560,ADN Microliving Castellana
Cl. 60 # 9-34,Chapinero,4.6464061087606,-74.0624796161526,No VIS,220,Chapinero,41561,Urban 9-60
Cr. 13 # 53-75,Chapinero,4.64102114524402,-74.0652728212341,No VIS,139,Chapinero,41562,Viao 53
Cr. 10 # 54A-31,Chapinero,4.64139850502128,-74.0639115558817,No VIS,35,Chapinero,41563,Open 10k
Cr. 26 # 49-26,Galerias,4.63830428267175,-74.0757385481931,No VIS,12,Teusaquillo,41564,Vivo
Cr. 27 # 24B-45,Usatama,4.62288820845884,-74.0792487625761,No VIS,13,Los Mártires,41565,Fiori
Cl. 25 Sur # 68H-74,Carvajal,4.61263532571621,-74.133112993836,No VIS,23,Kennedy,41566,Vival del Carvajal
Cl. 67A # 113C-27,Engativa,4.71033150220855,-74.1360585389178,No VIS,130,Engativá,41567,Oikos Varena
Dg. 53D # 22A-25,Galerias,4.64346076114188,-74.0727854169574,No VIS,22,Teusaquillo,41568,Proyecto Silver
Cl. 58Bis # 9-49,Chapinero,4.64444556379818,-74.0635959376693,No VIS,82,Chapinero,41570,Almagro
Cl. 6 # 18-04,La Estanzuela,4.59989349246567,-74.0880982803754,No VIS,34,Los Mártires,41571,Aruma
Cl. 22 # 102-49,La Cabaña,4.6776484706346,-74.14240167549,VIS,37,Fontibón,41572,Jitaku
Tv. 123 # 63F-26,Villa Claver,4.71392339232367,-74.1433904018766,VIP,37,Engativá,41573,Miravento
Cr. 116 # 77B-35,Villas de Granada,4.72201326752136,-74.1256986105143,No VIS,41,Engativá,41574,Caminos de Granada
Cl. 14A # 123-25,El Recodo,4.681645343373,-74.1679656759995,VIP,37,Fontibón,41575,El Poblado Aptos.
Cl. 61 # 9-65,Chapinero,4.64682185503094,-74.0624691723437,No VIS,31,Chapinero,41576,Ed. Manuel Franco
Cr. 38 # 12A-21,Zona Industrial,4.61947464096696,-74.0998530408701,No VIS,37,Puente Aranda,41577,38 Plus
Cl. 78B # 123A-35,Villas de Granada,4.7234772592767,-74.1316446461665,No VIS,53,Engativá,41578,Reserva de Granada V
Cr. 98 # 16B-86,Centenario,4.66840778766271,-74.147952798694,VIS,33,Fontibón,41579,Avanti 98
Cl. 12 # 25A-12,Ricaurte,4.60961935250594,-74.089693590371,VIS,120,Los Mártires,41581,Torres De Vicino
Tv. 27 # 57-12,San Luis,4.64570294899631,-74.0740065803859,No VIS,43,Teusaquillo,41582,Batlló Edificio
Cr. 16 # 60-52,San Luis,4.64795402322656,-74.0669220901745,No VIS,168,Teusaquillo,41583,Nou 60
Cr. 20 # 50-12,Galerias,4.63848220407857,-74.0716367106587,No VIS,75,Teusaquillo,41584,Yambú
Cr. 11 # 146-91,Cedritos,4.72537141475399,-74.0333023433909,No VIS,25,Usaquén,49000,147 Square
Cl. 147 # 7G-40,Cedritos,4.72538176225502,-74.0312402098213,No VIS,2,Usaquén,49001,Las Palmas Aptos.
Cl. 146 # 13-22,Cedritos,4.72695332257954,-74.0380272327461,No VIS,4,Usaquén,49006,Smart Home 146
Cr. 7B # 145-81,Cedritos,4.72177049002413,-74.0284672727768,No VIS,3,Usaquén,49008,Giralda 145
Cl. 145 # 13A-19,Cedritos,4.72534926989939,-74.0394379541499,No VIS,3,Usaquén,49009,Alborada 145
Cl. 144 # 12-78,Cedritos,4.72416657507435,-74.0378606113906,No VIS,20,Usaquén,49014,Acereto
Cl. 146Bis # 9-25,Cedritos,4.72426375516298,-74.0327325768583,No VIS,6,Usaquén,49015,Manzana Verde
Cr. 19A # 151-46,Cedritos,4.73342753415719,-74.045292396478,No VIS,1,Usaquén,49017,Mirador del Cedro I
Cr. 20 # 151-08,Cedritos,4.73360265934808,-74.0461447922153,No VIS,4,Usaquén,49018,Mirador del Cedro II
Cl. 145 # 12-94,Cedritos,4.72519999928772,-74.0380999995396,No VIS,34,Usaquén,49019,Vivaio
Cl. 145A # 16A-13,Cedritos,4.7272217353828,-74.0430126640376,No VIS,8,Usaquén,49021,Cedro Alto
Cl. 147 # 7G-52,Cedritos,4.72551749793841,-74.0315443214868,No VIS,31,Usaquén,49022,Scala 28
Cr. 19A # 151-15,Las Margaritas,4.73320000059903,-74.0456999996677,No VIS,19,Usaquén,49023,Mirador del Cedro III ..
Cr. 8 # 190-52,Tibabita,4.76718377465721,-74.0284509626366,No VIS,12,Usaquén,49024,Kolina de Santa Inés
Cr. 15 # 173-91,Alameda,4.7520614637912,-74.0373168464032,No VIS,25,Usaquén,49026,Alameda 170
Cl. 145 # 9-55,Cedritos,4.72246422539836,-74.0329659757248,No VIS,124,Usaquén,49028,Parkview 145
Cl. 170 # 8-60,Redil,4.74880067385528,-74.025409012035,No VIS,204,Usaquén,49029,"Hacienda la Estancia ""Rioja"""
Cr. 12 # 147-39,Cedritos,4.72691021020397,-74.0348065964775,No VIS,15,Usaquén,49030,Cayena Real
Cr. 23 # 140-39,Cedritos,4.72444709112118,-74.0500421875689,No VIS,7,Usaquén,49032,Remanso Park
Cl. 183 # 8A-10,San Antonio,4.7605541728909,-74.0292452396233,No VIS,45,Usaquén,49033,Terrazze Park 183
Cr. 8D # 189-47,Lijaca,4.76632120301149,-74.0305335545095,No VIS,1,Usaquén,49034,Edificio 189 Plus
Cl. 146 # 13-70,Cedritos,4.72759913999027,-74.0416106418157,No VIS,29,Usaquén,49035,Milá Aptos.
Cl. 159 # 20A-54,Estrella del norte,4.74197384137546,-74.0444526948929,No VIS,9,Usaquén,49038,Edificio Calle 159
Cr. 11 # 188-49,San Antonio Norte,4.76539916340661,-74.0322909935336,No VIS,9,Usaquén,49039,Sin Nombre
Cr. 21A # 159-28,Estrella del Norte,4.73965764647217,-74.0464598538851,No VIS,4,Usaquén,49042,Ed. Ferreiros
Cl. 163A # 7B-39,San Cristobal,4.73848092333943,-74.0245080221653,No VIS,5,Usaquén,49043,Ed. Toledo 163
Cr. 21 # 159-71,Estrella del norte,4.7399545289538,-74.0460964913228,No VIS,8,Usaquén,49044,Sky 21 Aptos
Cl. 168 # 7-51,Santa Teresa,4.74545798820947,-74.0236248690471,No VIS,87,Usaquén,49045,Montecarlo 168
Cl. 161A # 16C-59,Toberín,4.74067481137325,-74.0405187688217,No VIS,6,Usaquén,49046,Morein Aptos
Cl. 170 # 7-65,Santa Teresa,4.74642147874767,-74.0235295552716,No VIS,91,Usaquén,49048,Dos Torres 170
Cl. 170 # 8-60,Redil,4.74880067385528,-74.025409012035,VIS,193,Usaquén,49049,"Hacienda La Estancia ""Navarra"""
Cr. 60 # 66-31,Modelo,4.66740000061691,-74.0845999997109,No VIS,2,Barrios Unidos,50335,Vista al Parque del Salitre
Cr. 13A # 28-21,Centro Internacional,4.61686549797363,-74.0709978948678,No VIS,4,Santa Fe,50600,Museo Parque Central Fase II
Cr. 14 # 108B-11 Sur,Brazuelos,4.49250366666588,-74.1196261030289,VIS,27,Usme,50693,Conj. Res. Parq. Cantarrana
Tv. 60 0 # 59-24 Sur,Madelena,4.58355757270342,-74.1553358414859,No VIS,87,Ciudad Bolívar,50730,Altos de Madelena
Cl. 32 # 6A-15,San Martin,4.61833547393513,-74.06705770878,No VIS,3,Santa Fe,50746,Equilibrium
Tv. 65 Sur # 59-35 Sur,Madelena,4.58473940055817,-74.155651519554,No VIS,32,Ciudad Bolívar,50754,Santa Elena Reservado
Cl. 64 # 1-15,Chapinero Alto,4.64574380130144,-74.0540708725785,No VIS,2,Chapinero,50796,Segal
Cr. 35 # 63B-05,El Rosario,4.65410000085831,-74.0789999999106,No VIS,2,Barrios Unidos,50815,Central Park
Cr. 7 # 33-91,La Marced,4.62131948470784,-74.0675320869665,No VIS,1,Santa Fe,50818,Teleskop
Cl. 5 Sur # 3A-21,Las Brisas,4.58105288716542,-74.0816252613884,No VIS,3,San Cristóbal,50842,Al Lado del Centro
Av. Cr. 1 # 59-21,Chapinero Alto,4.64310000091791,-74.0582999996841,No VIS,8,Chapinero,50843,Omega 59
Cr. 21 # 24-89 Sur,Olaya,4.58295345729353,-74.1064402196407,No VIS,2,Rafael Uribe Uribe,50846,Torre Olaya Plaza +
Av. Cr. 14 # 58-58,Chapinero,4.64568110207502,-74.0649424031878,No VIS,21,Chapinero,50851,Oikos Infinitum +
Cr. 5 # 20-39,Centro,4.60508688888676,-74.0702614519244,No VIS,56,Santa Fe,50855,Torre Barcelona Cond. Estudiantil
Dg. 49ABisA Sur # 13J-91,Marco Fidel Suarez,4.56710071533745,-74.1252991498882,VIS,211,Rafael Uribe Uribe,50860,Caracas Avenida *
Cr. 49 # 91-50,La Castellana,4.67994872269665,-74.0619027940067,No VIS,3,Barrios Unidos,50869,Castellana Plaza +
Cr. 2 # 79-18 Sur,Yomasa,4.5097000002861,-74.1059999996796,VIS,60,Usme,50883,Senderos de la Sierra
Cr. 25 # 24C-44,Centro,4.62130000069737,-74.0774999996647,No VIS,24,Los Mártires,50884,Zima 26 ..
Cl. 11 # 1-60,Centro,4.59505524956439,-74.0700072101663,No VIS,2,La Candelaria,50888,Antigua La Candelaria
Cl. 49 # 5-34,Chapinero Alto,4.63593440859207,-74.0625875759264,No VIS,7,Chapinero,50889,Montecarlo Village +
Cr. 3 # 58-27,Chapinero Alto,4.64265568061502,-74.0588577203606,No VIS,3,Chapinero,50892,Nova 58
Cr. 27 # 31A-36 Sur,Libertador,4.58811588576329,-74.1168536200196,No VIS,5,Rafael Uribe Uribe,50903,Mirador +
Cr. 24 # 71A-85,Alcazares,4.66281961620806,-74.068135343679,No VIS,139,Barrios Unidos,50905,72 Hub
Cr. 31 # 5C-10,Veraguas,4.60741902036809,-74.0998384454591,No VIS,10,Puente Aranda,50907,Torre Estelar
Cr. 5 # 20-39,Centro,4.60508688888676,-74.0702614519244,No VIS,14,Santa Fe,50913,Torre Barcelona Aptos.
Cr. 36 # 4-71,Primavera,4.60868925863346,-74.1063796764535,No VIS,5,Puente Aranda,50916,Verona Parque Res.
Cr. 35 # 63C-45,El Rosario,4.65571194030236,-74.0789304174922,No VIS,3,Barrios Unidos,50917,Parque El Lago
Cl. 52 # 18-34,Alfonzo Lopez,4.64025747195652,-74.0703586375158,No VIS,2,Teusaquillo,50919,Makapi Lights
Cl. 32 # 5-21,San Martin,4.61742483414909,-74.0663279249335,No VIS,33,Santa Fe,50926,La Quinta
Cl. 33 # 6-37,Centro,4.61898762815001,-74.0664618173548,No VIS,14,Santa Fe,50929,Frontier
Cl. 48 Sur # 4-90 Este,Nueva Roma,4.54184063929508,-74.0952698833899,VIS,8,San Cristóbal,50938,Reserva Entre Nubes
Cr. 1G # 98-21 Sur,La Esperanza,4.49510599853466,-74.1097141631538,VIS,1,Usme,50939,Zasca Aptos.
Cl. 72A # 62-14,San Fernando,4.67446746759348,-74.0809780678565,No VIS,1,Barrios Unidos,50941,Nova 72 +
Cl. 34 # 18-25,Teusaquillo,4.62349126807485,-74.0735456005029,No VIS,2,Teusaquillo,50942,Kardonal 34
Av. Cr. 14 # 71-44,Quinta Camacho,4.65821355943358,-74.0615086601613,No VIS,50,Chapinero,50944,Life 72 +
Cl. 63D # 28A-64,7 de agosto,4.65579999983311,-74.0773999998346,No VIS,10,Barrios Unidos,50946,Salamanca +
Cr. 12 # 32F-80 Sur,La Resureción,4.569795053253,-74.1133591351581,VIS,57,Rafael Uribe Uribe,50948,Granjas de Santa Sofía
